Jogador,Posicao,Time,Arquivo
Henrique Dourado,Atacante,Fluminense,./Graficos/Henrique Dourado_Fluminense_Atacante.html
Luan,Atacante,Grêmio,./Graficos/Luan_Grêmio_Atacante.html
Diego,Meia,Flamengo,./Graficos/Diego_Flamengo_Meia.html
Nino Paraíba,Lateral,Ponte Preta,./Graficos/Nino Paraíba_Ponte Preta_Lateral.html
Lucca,Atacante,Ponte Preta,./Graficos/Lucca_Ponte Preta_Atacante.html
Vanderlei,Goleiro,Santos,./Graficos/Vanderlei_Santos_Goleiro.html
Gatito Fernández,Goleiro,Botafogo,./Graficos/Gatito Fernández_Botafogo_Goleiro.html
Zé Rafael ,Meia,Bahia,./Graficos/Zé Rafael _Bahia_Meia.html
Borja,Atacante,Palmeiras,./Graficos/Borja_Palmeiras_Atacante.html
Ramiro,Meia,Grêmio,./Graficos/Ramiro_Grêmio_Meia.html
Thiago Neves,Meia,Cruzeiro,./Graficos/Thiago Neves_Cruzeiro_Meia.html
Diego Souza,Meia,Sport,./Graficos/Diego Souza_Sport_Meia.html
Fernando Prass,Goleiro,Palmeiras,./Graficos/Fernando Prass_Palmeiras_Goleiro.html
Douglas,Meia,Vasco,./Graficos/Douglas_Vasco_Meia.html
Clayson,Atacante,Corinthians,./Graficos/Clayson_Corinthians_Atacante.html
Yerry Mina,Zagueiro,Palmeiras,./Graficos/Yerry Mina_Palmeiras_Zagueiro.html
Sornoza,Meia,Fluminense,./Graficos/Sornoza_Fluminense_Meia.html
Fred,Atacante,Atlético-MG,./Graficos/Fred_Atlético-MG_Atacante.html
Régis,Meia,Bahia,./Graficos/Régis_Bahia_Meia.html
Luis Fabiano,Atacante,Vasco,./Graficos/Luis Fabiano_Vasco_Atacante.html
Lucas Pratto,Atacante,São Paulo,./Graficos/Lucas Pratto_São Paulo_Atacante.html
Alisson,Meia,Cruzeiro,./Graficos/Alisson_Cruzeiro_Meia.html
Everton,Meia,Flamengo,./Graficos/Everton_Flamengo_Meia.html
Rodriguinho,Meia,Corinthians,./Graficos/Rodriguinho_Corinthians_Meia.html
Wilson,Goleiro,Coritiba,./Graficos/Wilson_Coritiba_Goleiro.html
Robinho,Atacante,Atlético-MG,./Graficos/Robinho_Atlético-MG_Atacante.html
Edson,Meia,Bahia,./Graficos/Edson_Bahia_Meia.html
Henrique Almeida,Atacante,Coritiba,./Graficos/Henrique Almeida_Coritiba_Atacante.html
Pedro Geromel,Zagueiro,Grêmio,./Graficos/Pedro Geromel_Grêmio_Zagueiro.html
Bruno Henrique,Atacante,Santos,./Graficos/Bruno Henrique_Santos_Atacante.html
Wendel,Meia,Fluminense,./Graficos/Wendel_Fluminense_Meia.html
Jucilei,Meia,São Paulo,./Graficos/Jucilei_São Paulo_Meia.html
Ángel Romero,Atacante,Corinthians,./Graficos/Ángel Romero_Corinthians_Atacante.html
Bruno Silva,Meia,Botafogo,./Graficos/Bruno Silva_Botafogo_Meia.html
Leandro Damião,Atacante,Flamengo,./Graficos/Leandro Damião_Flamengo_Atacante.html
Fagner,Lateral,Corinthians,./Graficos/Fagner_Corinthians_Lateral.html
Victor Luis,Lateral,Botafogo,./Graficos/Victor Luis_Botafogo_Lateral.html
Jô,Atacante,Corinthians,./Graficos/Jô_Corinthians_Atacante.html
Sidcley,Lateral,Atlético-PR,./Graficos/Sidcley_Atlético-PR_Lateral.html
Ábila,Atacante,Cruzeiro,./Graficos/Ábila_Cruzeiro_Atacante.html
Nenê,Meia,Vasco,./Graficos/Nenê_Vasco_Meia.html
Júnior Tavares,Lateral,São Paulo,./Graficos/Júnior Tavares_São Paulo_Lateral.html
Matheus Savio,Meia,Flamengo,./Graficos/Matheus Savio_Flamengo_Meia.html
Aranha,Goleiro,Ponte Preta,./Graficos/Aranha_Ponte Preta_Goleiro.html
Fernandinho,Atacante,Grêmio,./Graficos/Fernandinho_Grêmio_Atacante.html
Kadu,Zagueiro,Ponte Preta,./Graficos/Kadu_Ponte Preta_Zagueiro.html
Elias,Meia,Atlético-MG,./Graficos/Elias_Atlético-MG_Meia.html
David Braz,Zagueiro,Santos,./Graficos/David Braz_Santos_Zagueiro.html
Léo Moura,Lateral,Grêmio,./Graficos/Léo Moura_Grêmio_Lateral.html
Igor Rabello,Zagueiro,Botafogo,./Graficos/Igor Rabello_Botafogo_Zagueiro.html
Reinaldo,Lateral,Chapecoense,./Graficos/Reinaldo_Chapecoense_Lateral.html
Fábio,Goleiro,Cruzeiro,./Graficos/Fábio_Cruzeiro_Goleiro.html
Marllon,Zagueiro,Ponte Preta,./Graficos/Marllon_Ponte Preta_Zagueiro.html
Alejandro Guerra,Meia,Palmeiras,./Graficos/Alejandro Guerra_Palmeiras_Meia.html
Zeca,Lateral,Santos,./Graficos/Zeca_Santos_Lateral.html
Geferson,Lateral,Vitória,./Graficos/Geferson_Vitória_Lateral.html
Ricardo Oliveira,Atacante,Santos,./Graficos/Ricardo Oliveira_Santos_Atacante.html
Gustavo Scarpa,Meia,Fluminense,./Graficos/Gustavo Scarpa_Fluminense_Meia.html
Bruno Cortez,Lateral,Grêmio,./Graficos/Bruno Cortez_Grêmio_Lateral.html
Cássio,Goleiro,Corinthians,./Graficos/Cássio_Corinthians_Goleiro.html
Marquinhos Gabriel,Meia,Corinthians,./Graficos/Marquinhos Gabriel_Corinthians_Meia.html
Gilberto ,Lateral,Vasco,./Graficos/Gilberto _Vasco_Lateral.html
Camilo,Meia,Botafogo,./Graficos/Camilo_Botafogo_Meia.html
Victor Ferraz,Lateral,Santos,./Graficos/Victor Ferraz_Santos_Lateral.html
Richarlison ,Atacante,Fluminense,./Graficos/Richarlison _Fluminense_Atacante.html
Juninho,Meia,Bahia,./Graficos/Juninho_Bahia_Meia.html
Fernando Miguel,Goleiro,Vitória,./Graficos/Fernando Miguel_Vitória_Goleiro.html
Diogo Barbosa,Lateral,Cruzeiro,./Graficos/Diogo Barbosa_Cruzeiro_Lateral.html
Allione,Meia,Bahia,./Graficos/Allione_Bahia_Meia.html
Kannemann,Zagueiro,Grêmio,./Graficos/Kannemann_Grêmio_Zagueiro.html
Edílson,Lateral,Grêmio,./Graficos/Edílson_Grêmio_Lateral.html
Pablo,Zagueiro,Corinthians,./Graficos/Pablo_Corinthians_Zagueiro.html
João Lucas,Lateral,Ponte Preta,./Graficos/João Lucas_Ponte Preta_Lateral.html
Arthur ,Atacante,Chapecoense,./Graficos/Arthur _Chapecoense_Atacante.html
Jean,Meia,Vasco,./Graficos/Jean_Vasco_Meia.html
Orejuela,Meia,Fluminense,./Graficos/Orejuela_Fluminense_Meia.html
Rafael Sobis,Atacante,Cruzeiro,./Graficos/Rafael Sobis_Cruzeiro_Atacante.html
Rithely,Meia,Sport,./Graficos/Rithely_Sport_Meia.html
Renan Ribeiro,Goleiro,São Paulo,./Graficos/Renan Ribeiro_São Paulo_Goleiro.html
Romulo,Atacante,Avaí,./Graficos/Romulo_Avaí_Atacante.html
Kleber,Atacante,Coritiba,./Graficos/Kleber_Coritiba_Atacante.html
Pedro Rocha,Atacante,Grêmio,./Graficos/Pedro Rocha_Grêmio_Atacante.html
Wellington Paulista,Atacante,Chapecoense,./Graficos/Wellington Paulista_Chapecoense_Atacante.html
Capa,Lateral,Avaí,./Graficos/Capa_Avaí_Lateral.html
Réver,Zagueiro,Flamengo,./Graficos/Réver_Flamengo_Zagueiro.html
Roger,Atacante,Botafogo,./Graficos/Roger_Botafogo_Atacante.html
Otávio ,Meia,Atlético-PR,./Graficos/Otávio _Atlético-PR_Meia.html
Lucas Barrios,Atacante,Grêmio,./Graficos/Lucas Barrios_Grêmio_Atacante.html
Gabriel,Zagueiro,Atlético-MG,./Graficos/Gabriel_Atlético-MG_Zagueiro.html
Marcelo Oliveira,Lateral,Grêmio,./Graficos/Marcelo Oliveira_Grêmio_Lateral.html
Tiago ,Zagueiro,Bahia,./Graficos/Tiago _Bahia_Zagueiro.html
Maicon,Zagueiro,São Paulo,./Graficos/Maicon_São Paulo_Zagueiro.html
Edu Dracena,Zagueiro,Palmeiras,./Graficos/Edu Dracena_Palmeiras_Zagueiro.html
Robinho,Meia,Cruzeiro,./Graficos/Robinho_Cruzeiro_Meia.html
Rodrigo Caio,Zagueiro,São Paulo,./Graficos/Rodrigo Caio_São Paulo_Zagueiro.html
Cueva,Meia,São Paulo,./Graficos/Cueva_São Paulo_Meia.html
Victor,Goleiro,Atlético-MG,./Graficos/Victor_Atlético-MG_Goleiro.html
Juninho,Zagueiro,Palmeiras,./Graficos/Juninho_Palmeiras_Zagueiro.html
Willian Farias,Meia,Vitória,./Graficos/Willian Farias_Vitória_Meia.html
Rodrigo,Zagueiro,Ponte Preta,./Graficos/Rodrigo_Ponte Preta_Zagueiro.html
Balbuena,Zagueiro,Corinthians,./Graficos/Balbuena_Corinthians_Zagueiro.html
Everton,Atacante,Grêmio,./Graficos/Everton_Grêmio_Atacante.html
Dodô,Lateral,Coritiba,./Graficos/Dodô_Coritiba_Lateral.html
Willian Arão,Meia,Flamengo,./Graficos/Willian Arão_Flamengo_Meia.html
Everaldo,Atacante,Atlético-GO,./Graficos/Everaldo_Atlético-GO_Atacante.html
Edigar Junio,Atacante,Bahia,./Graficos/Edigar Junio_Bahia_Atacante.html
Vitor Bueno,Meia,Santos,./Graficos/Vitor Bueno_Santos_Meia.html
André,Atacante,Sport,./Graficos/André_Sport_Atacante.html
Arrascaeta,Meia,Cruzeiro,./Graficos/Arrascaeta_Cruzeiro_Meia.html
Henrique,Zagueiro,Fluminense,./Graficos/Henrique_Fluminense_Zagueiro.html
Rodrigo Lindoso,Meia,Botafogo,./Graficos/Rodrigo Lindoso_Botafogo_Meia.html
Joel Carli,Zagueiro,Botafogo,./Graficos/Joel Carli_Botafogo_Zagueiro.html
Cazares,Meia,Atlético-MG,./Graficos/Cazares_Atlético-MG_Meia.html
Rodinei,Lateral,Flamengo,./Graficos/Rodinei_Flamengo_Lateral.html
Patrick,Meia,Sport,./Graficos/Patrick_Sport_Meia.html
Felipe Santana,Zagueiro,Atlético-MG,./Graficos/Felipe Santana_Atlético-MG_Zagueiro.html
Gilson,Lateral,Botafogo,./Graficos/Gilson_Botafogo_Lateral.html
Kieza,Atacante,Vitória,./Graficos/Kieza_Vitória_Atacante.html
Jean,Goleiro,Bahia,./Graficos/Jean_Bahia_Goleiro.html
Luiz Antonio ,Meia,Chapecoense,./Graficos/Luiz Antonio _Chapecoense_Meia.html
Pará,Lateral,Flamengo,./Graficos/Pará_Flamengo_Lateral.html
Victor Ramos,Zagueiro,Chapecoense,./Graficos/Victor Ramos_Chapecoense_Zagueiro.html
