pontuacao	frequencia	media
-8	0.0008	-0.061640000000002214
-7	0.0018	-0.061640000000002214
-6	0.0074	-0.061640000000002214
-5	0.0074	-0.061640000000002214
-4	0.0344	-0.061640000000002214
-3	0.0378	-0.061640000000002214
-2	0.1164	-0.061640000000002214
-1	0.1042	-0.061640000000002214
0	0.207	-0.061640000000002214
1	0.1786	-0.061640000000002214
2	0.1492	-0.061640000000002214
3	0.0824	-0.061640000000002214
4	0.0458	-0.061640000000002214
5	0.0148	-0.061640000000002214
6	0.0094	-0.061640000000002214
7	0.0014	-0.061640000000002214
8	0.001	-0.061640000000002214
