index	Jogador	Time	Posicao	preco_cartoleta
0	Henrique Dourado	Fluminense	Atacante	23.52999999999904
1	Gatito Fernández	Botafogo	Goleiro	23.029999999999042
2	Luan	Grêmio	Atacante	22.61000000000053
3	Diego	Flamengo	Meia	20.809999999998585
4	Zé Rafael 	Bahia	Meia	20.55000000000182
5	Lucca	Ponte Preta	Atacante	20.410000000002327
6	Nino Paraíba	Ponte Preta	Lateral	19.77000000000044
7	Vanderlei	Santos	Goleiro	19.460000000001582
8	Thiago Neves	Cruzeiro	Meia	18.53999999999866
9	Diego Souza	Sport	Meia	17.410000000002128
10	Borja	Palmeiras	Atacante	17.36000000000051
11	Ramiro	Grêmio	Meia	17.259999999999245
12	Régis	Bahia	Meia	16.800000000001575
13	Douglas	Vasco	Meia	15.940000000001135
14	Clayson	Corinthians	Atacante	15.809999999998874
15	Sornoza	Fluminense	Meia	15.809999999998874
16	Fernando Prass	Palmeiras	Goleiro	15.789999999999543
17	Everton	Flamengo	Meia	15.669999999998636
18	Jucilei	São Paulo	Meia	15.660000000001974
19	Yerry Mina	Palmeiras	Zagueiro	15.649999999999915
20	Fred	Atlético-MG	Atacante	15.600000000000067
21	Jean	Palmeiras	Lateral	15.589999999998033
22	Dudu	Palmeiras	Atacante	15.539999999999639
23	Rodriguinho	Corinthians	Meia	15.070000000000679
24	Robinho	Atlético-MG	Atacante	15.029999999999154
25	Alejandro Guerra	Palmeiras	Meia	15.029999999999154
26	Cássio	Corinthians	Goleiro	14.5
27	Henrique Almeida	Coritiba	Atacante	14.370000000000635
28	Alisson	Cruzeiro	Meia	14.27999999999917
29	Edson	Bahia	Meia	14.089999999998195
30	Luis Fabiano	Vasco	Atacante	14.040000000000282
31	Wilson	Coritiba	Goleiro	13.839999999998225
32	Lucas Pratto	São Paulo	Atacante	13.809999999999048
33	Richarlison 	Fluminense	Atacante	13.62999999999908
34	Sidcley	Atlético-PR	Lateral	13.620000000000925
35	Pedro Geromel	Grêmio	Zagueiro	13.569999999999979
36	Jô	Corinthians	Atacante	13.31999999999985
37	Éverton Ribeiro	Flamengo	Meia	13.19999999999879
38	Bruno Silva	Botafogo	Meia	13.040000000000758
39	Wendel	Fluminense	Meia	12.819999999999732
40	Nenê	Vasco	Meia	12.69000000000083
41	Ángel Romero	Corinthians	Atacante	12.480000000001322
42	Tomas Bastos	Coritiba	Meia	12.4400000000008
43	Victor Luis	Botafogo	Lateral	12.379999999998944
44	Reinaldo	Chapecoense	Lateral	12.339999999998433
45	Diogo Barbosa	Cruzeiro	Lateral	12.330000000001265
46	Bruno Henrique	Santos	Atacante	12.330000000001265
47	Kadu	Ponte Preta	Zagueiro	12.25
48	Douglas Friedrich	Avaí	Goleiro	12.230000000001281
49	Ábila	Cruzeiro	Atacante	12.220000000000775
50	Marllon	Ponte Preta	Zagueiro	12.059999999999247
51	Geferson	Vitória	Lateral	12.040000000000749
52	Capa	Avaí	Lateral	11.970000000000766
53	Gustavo Scarpa	Fluminense	Meia	11.930000000000264
54	Elias	Atlético-MG	Meia	11.930000000000264
55	Fagner	Corinthians	Lateral	11.910000000001498
56	Paolo Guerrero	Flamengo	Atacante	11.88999999999952
57	Réver	Flamengo	Zagueiro	11.830000000001244
58	Léo Moura	Grêmio	Lateral	11.809999999999281
59	Júnior Tavares	São Paulo	Lateral	11.80000000000101
60	Fábio	Cruzeiro	Goleiro	11.769999999998792
61	Kleber	Coritiba	Atacante	11.76000000000051
62	Igor Rabello	Botafogo	Zagueiro	11.650000000000974
63	Victor	Atlético-MG	Goleiro	11.529999999999248
64	Gilberto 	Vasco	Lateral	11.519999999998836
65	Aranha	Ponte Preta	Goleiro	11.489999999999528
66	Ricardo Oliveira	Santos	Atacante	11.400000000000963
67	Arthur 	Chapecoense	Atacante	11.389999999999523
68	Pablo	Corinthians	Zagueiro	11.370000000000918
69	João Lucas	Ponte Preta	Lateral	11.26000000000044
70	Fernando Miguel	Vitória	Goleiro	11.0
71	Rithely	Sport	Meia	10.989999999999599
72	Matheus Savio	Flamengo	Meia	10.989999999999599
73	Rafael Sobis	Cruzeiro	Atacante	10.819999999999737
74	Leandro Damião	Flamengo	Atacante	10.730000000001015
75	Miller Bolaños	Grêmio	Atacante	10.620000000000797
76	Wellington Paulista	Chapecoense	Atacante	10.540000000000733
77	Fernandinho	Grêmio	Atacante	10.489999999999677
78	Balbuena	Corinthians	Zagueiro	10.419999999998824
79	Rodrigo Caio	São Paulo	Zagueiro	10.400000000000915
80	Wellington Silva	Fluminense	Atacante	10.389999999999533
81	Romulo	Avaí	Atacante	10.360000000000467
82	Guilherme	Atlético-PR	Meia	10.33000000000117
83	Bruno Cortez	Grêmio	Lateral	10.290000000000727
84	Jean	Bahia	Goleiro	10.2799999999993
85	Lucas Barrios	Grêmio	Atacante	10.2799999999993
86	Allione	Bahia	Meia	10.2799999999993
87	Rodinei	Flamengo	Lateral	10.269999999999083
88	Orejuela	Fluminense	Meia	10.269999999999083
89	Jadson	Corinthians	Meia	10.209999999999273
90	David Braz	Santos	Zagueiro	10.110000000000465
91	Fagner Alemão	Avaí	Lateral	10.06999999999974
92	Michel 	Grêmio	Meia	10.05999999999956
93	Rodrigo Lindoso	Botafogo	Meia	10.050000000000678
94	Kannemann	Grêmio	Zagueiro	9.989999999999762
95	Marcos Rocha	Atlético-MG	Lateral	9.989999999999762
96	Everton	Grêmio	Atacante	9.98000000000085
97	Juninho	Palmeiras	Zagueiro	9.98000000000085
98	Otávio 	Atlético-PR	Meia	9.959999999999276
99	Maicon	São Paulo	Zagueiro	9.900000000000889
100	Edu Dracena	Palmeiras	Zagueiro	9.900000000000889
101	Juninho	Bahia	Meia	9.900000000000889
102	Bruno Henrique	Palmeiras	Meia	9.779999999999323
103	Roger	Botafogo	Atacante	9.779999999999323
104	Victor Ferraz	Santos	Lateral	9.760000000000195
105	Renê Júnior	Bahia	Meia	9.730000000000791
106	Dodô	Coritiba	Lateral	9.639999999999542
107	Marquinhos Gabriel	Corinthians	Meia	9.629999999999388
108	Neto Berola	Coritiba	Atacante	9.620000000000609
109	Tiago 	Bahia	Zagueiro	9.59999999999913
110	Kieza	Vitória	Atacante	9.529999999999335
111	Edílson	Grêmio	Lateral	9.529999999999335
112	Edigar Junio	Bahia	Atacante	9.519999999999264
113	Márcio Araújo	Flamengo	Meia	9.5
114	Jean	Vasco	Meia	9.480000000000727
115	Everaldo	Atlético-GO	Atacante	9.459999999999283
116	Copete	Santos	Atacante	9.440000000000314
117	Nikão	Atlético-PR	Meia	9.430000000000259
118	Pedro Rocha	Grêmio	Atacante	9.360000000000454
119	Arrascaeta	Cruzeiro	Meia	9.339999999999053
120	Willian Farias	Vitória	Meia	9.330000000001109
121	Patrick	Sport	Meia	9.319999999999741
122	Vitor Bueno	Santos	Meia	9.290000000000713
123	André	Sport	Atacante	9.260000000000096
124	Vladimir Hernández	Santos	Atacante	9.150000000000842
125	Camilo	Botafogo	Meia	9.11000000000045
126	Felipe Santana	Atlético-MG	Zagueiro	9.11000000000045
127	Cueva	São Paulo	Meia	9.099999999999161
128	Joel Carli	Botafogo	Zagueiro	9.099999999999161
129	Gilson	Botafogo	Lateral	9.099999999999161
130	Roger Carvalho	Atlético-GO	Zagueiro	9.08999999999912
131	Gabriel	Atlético-MG	Zagueiro	9.08000000000109
132	Renan Ribeiro	São Paulo	Goleiro	9.040000000000708
133	Rodrigo	Ponte Preta	Zagueiro	9.040000000000708
134	Guilherme Arana	Corinthians	Lateral	9.010000000000042
135	Yago Pikachu	Vasco	Lateral	8.970000000000635
136	Leonardo Silva	Atlético-MG	Zagueiro	8.930000000000257
137	Pará	Flamengo	Lateral	8.930000000000257
138	Dedé	Cruzeiro	Zagueiro	8.860000000000449
139	Léo	Cruzeiro	Zagueiro	8.769999999999476
140	Robinho	Cruzeiro	Meia	8.730000000000514
141	Cazares	Atlético-MG	Meia	8.7099999999993
142	Rhodolfo	Flamengo	Zagueiro	8.699999999999669
143	Felipe Melo	Palmeiras	Meia	8.66999999999894
144	Arthur	Grêmio	Meia	8.660000000000748
145	Thiago Heleno	Atlético-PR	Zagueiro	8.650000000000807
146	André Lima	Vitória	Atacante	8.639999999999556
147	Rossi	Chapecoense	Atacante	8.610000000000444
148	Werley	Coritiba	Zagueiro	8.580000000001053
149	Kanu	Vitória	Zagueiro	8.550000000000287
150	Fernando Bob	Ponte Preta	Meia	8.540000000000699
151	Willian Arão	Flamengo	Meia	8.509999999999925
152	Valdívia	Atlético-MG	Meia	8.49000000000008
153	Júnior Dutra	Avaí	Atacante	8.49000000000008
154	Matheus Galdezani	Coritiba	Meia	8.449999999999745
155	Luiz Antonio 	Chapecoense	Meia	8.449999999999745
156	Leandro Silva	Avaí	Lateral	8.430000000000256
157	Ronaldo Alves	Sport	Zagueiro	8.400000000000787
158	Mateus Vital	Vasco	Meia	8.400000000000787
159	Conca	Flamengo	Meia	8.349999999999216
160	Felipe Gedoz 	Atlético-PR	Meia	8.330000000001034
161	Henrique	Fluminense	Zagueiro	8.269999999999635
162	Marcelo Grohe	Grêmio	Goleiro	8.25999999999986
163	Lucas Romero	Cruzeiro	Meia	8.220000000000585
164	Arnaldo	Botafogo	Lateral	8.220000000000585
165	Henrique	Vasco	Lateral	8.169999999998982
166	Pedro Henrique	Corinthians	Zagueiro	8.160000000000581
167	Ravanelli	Ponte Preta	Meia	8.160000000000581
168	Gabriel	Corinthians	Meia	8.150000000000768
169	Betão	Avaí	Zagueiro	8.120000000000237
170	Mauricio Kozlinski	Avaí	Goleiro	8.099999999999238
171	Maicon	Grêmio	Meia	7.9900000000002125
172	Rafael Vaz	Flamengo	Zagueiro	7.900000000000745
173	Marcelo Oliveira	Grêmio	Lateral	7.900000000000745
174	Maycon	Corinthians	Meia	7.839999999999539
175	Wellington Nem	São Paulo	Atacante	7.839999999999539
